datetime,open,high,low,close,volume
2025-04-09 10:00:00,1.9605,1.9955,1.949,1.987,2180616.1
2025-04-09 11:00:00,1.9869,2.0277,1.8824,1.9185,16645428.3
2025-04-09 12:00:00,1.9184,1.9289,1.8834,1.9142,4257230.0
2025-04-09 13:00:00,1.9141,1.9674,1.9008,1.9436,6338218.9
2025-04-09 14:00:00,1.9437,1.9772,1.9244,1.9259,5640450.8
2025-04-09 15:00:00,1.9258,1.9905,1.9251,1.9526,5655663.2
2025-04-09 16:00:00,1.9526,1.989,1.9462,1.9834,3171159.0
2025-04-09 17:00:00,1.9833,2.2565,1.9601,2.2474,34081019.8
2025-04-09 18:00:00,2.2471,2.2728,2.2084,2.2133,20077963.6
2025-04-09 19:00:00,2.2132,2.266,2.2115,2.2554,6359076.6
2025-04-09 20:00:00,2.2555,2.272,2.2278,2.2669,4534811.8
2025-04-09 21:00:00,2.2669,2.2887,2.2514,2.27,3628806.2
2025-04-09 22:00:00,2.2699,2.2792,2.2406,2.2436,3101212.2
2025-04-09 23:00:00,2.2435,2.2513,2.2195,2.2217,2727700.0
2025-04-10 00:00:00,2.2216,2.2304,2.1738,2.1976,3576424.9
2025-04-10 01:00:00,2.1978,2.2078,2.1763,2.182,3019613.4
2025-04-10 02:00:00,2.1819,2.205,2.1723,2.1858,2862859.9
2025-04-10 03:00:00,2.1858,2.1874,2.1303,2.157,3176686.8
2025-04-10 04:00:00,2.1568,2.1584,2.1071,2.135,9398041.1
2025-04-10 05:00:00,2.135,2.1585,2.1296,2.1361,3616455.4
2025-04-10 06:00:00,2.1362,2.1739,2.1331,2.1644,3674200.7
2025-04-10 07:00:00,2.1645,2.1741,2.1316,2.1439,2234498.6
2025-04-10 08:00:00,2.1439,2.1541,2.1258,2.135,1773209.2
2025-04-10 09:00:00,2.135,2.1506,2.125,2.1479,1463451.3
2025-04-10 10:00:00,2.1478,2.1523,2.1266,2.1355,2034555.8
2025-04-10 11:00:00,2.1356,2.1496,2.117,2.146,1760088.5
2025-04-10 12:00:00,2.146,2.1976,2.1322,2.165,8789211.1
2025-04-10 13:00:00,2.165,2.1879,2.1366,2.1539,6160027.9
2025-04-10 14:00:00,2.1539,2.1844,2.1412,2.1496,3262576.7
2025-04-10 15:00:00,2.1495,2.1557,2.0511,2.0635,9096926.5
2025-04-10 16:00:00,2.0634,2.0937,2.055,2.0836,4493831.0
2025-04-10 17:00:00,2.0835,2.097,2.0568,2.0718,3638084.5
2025-04-10 18:00:00,2.0719,2.0884,2.0671,2.078,2257534.4
2025-04-10 19:00:00,2.0776,2.1009,2.0751,2.0835,2718226.2
2025-04-10 20:00:00,2.0834,2.1317,2.0828,2.1171,2787740.9
2025-04-10 21:00:00,2.1169,2.1214,2.0883,2.0987,1324985.2
2025-04-10 22:00:00,2.0988,2.1093,2.0861,2.1024,1056325.5
2025-04-10 23:00:00,2.1023,2.1221,2.0927,2.1127,1418238.9
2025-04-11 00:00:00,2.1126,2.1257,2.0966,2.1008,1741640.0
2025-04-11 01:00:00,2.1009,2.1456,2.1004,2.1435,2274178.5
2025-04-11 02:00:00,2.1436,2.1672,2.1315,2.15,2561276.8
2025-04-11 03:00:00,2.1497,2.1742,2.1496,2.1714,2241980.4
2025-04-11 04:00:00,2.1712,2.1842,2.163,2.1709,1619733.6
2025-04-11 05:00:00,2.1712,2.18,2.1578,2.177,1369709.3
2025-04-11 06:00:00,2.1769,2.2082,2.1769,2.1991,2708962.8
2025-04-11 07:00:00,2.1992,2.2049,2.1748,2.1845,1966443.7
2025-04-11 08:00:00,2.1845,2.2028,2.1684,2.183,3633945.9
2025-04-11 09:00:00,2.183,2.2042,2.1716,2.1967,2814504.0
2025-04-11 10:00:00,2.1968,2.2223,2.1867,2.1932,4312775.8
2025-04-11 11:00:00,2.1931,2.1947,2.168,2.1796,3858825.4
2025-04-11 12:00:00,2.1797,2.2323,2.1648,2.1743,8724831.4
2025-04-11 13:00:00,2.1743,2.2176,2.1665,2.1936,6762405.4
2025-04-11 14:00:00,2.1935,2.1988,2.1559,2.1749,7622693.7
2025-04-11 15:00:00,2.1748,2.202,2.1658,2.1876,4162194.3
2025-04-11 16:00:00,2.1877,2.2028,2.1738,2.1874,3770571.1
2025-04-11 17:00:00,2.1876,2.2185,2.1834,2.213,4092342.3
2025-04-11 18:00:00,2.2131,2.2499,2.2073,2.2273,3490402.0
2025-04-11 19:00:00,2.2276,2.2392,2.214,2.2242,1309277.1
2025-04-11 20:00:00,2.2241,2.2346,2.2132,2.2289,2140336.7
2025-04-11 21:00:00,2.2287,2.2457,2.2075,2.214,1937492.6
2025-04-11 22:00:00,2.214,2.2198,2.1973,2.1996,2137394.5
2025-04-11 23:00:00,2.1995,2.1998,2.1753,2.1882,2312674.2
2025-04-12 00:00:00,2.188,2.1908,2.176,2.1826,2637395.5
2025-04-12 01:00:00,2.1824,2.1871,2.1727,2.1812,1380372.7
2025-04-12 02:00:00,2.1808,2.1853,2.1629,2.163,1093453.4
2025-04-12 03:00:00,2.1629,2.1827,2.1575,2.167,1718124.8
2025-04-12 04:00:00,2.167,2.1935,2.1576,2.1932,3207327.7
2025-04-12 05:00:00,2.1934,2.1995,2.1789,2.1825,1674531.6
2025-04-12 06:00:00,2.1827,2.1986,2.1822,2.1883,1484394.5
2025-04-12 07:00:00,2.1884,2.2097,2.1846,2.2016,3047411.0
2025-04-12 08:00:00,2.2016,2.239,2.2003,2.2213,4484659.7
2025-04-12 09:00:00,2.2213,2.2308,2.208,2.2193,2430420.5
2025-04-12 10:00:00,2.2191,2.2202,2.188,2.1928,2879140.6
2025-04-12 11:00:00,2.1929,2.2127,2.1929,2.2023,1954395.8
2025-04-12 12:00:00,2.2025,2.2085,2.1871,2.2016,2831938.3
2025-04-12 13:00:00,2.2017,2.28,2.1989,2.2609,15062606.2
2025-04-12 14:00:00,2.2609,2.3668,2.2556,2.3119,10826344.6
2025-04-12 15:00:00,2.3118,2.345,2.2891,2.3178,6422336.3
2025-04-12 16:00:00,2.3178,2.3329,2.2812,2.2956,4041071.5
2025-04-12 17:00:00,2.2954,2.3018,2.2716,2.2892,3116875.2
2025-04-12 18:00:00,2.2891,2.3299,2.2886,2.3298,2339794.3
2025-04-12 19:00:00,2.3298,2.3574,2.3217,2.3394,3334237.3
2025-04-12 20:00:00,2.3394,2.382,2.3386,2.3678,4293995.2
2025-04-12 21:00:00,2.3677,2.3758,2.3454,2.3661,2554910.8
2025-04-12 22:00:00,2.3664,2.3979,2.3514,2.3552,2918437.1
2025-04-12 23:00:00,2.3554,2.3612,2.3385,2.3463,2085757.5
2025-04-13 00:00:00,2.3465,2.3567,2.3244,2.346,3513622.6
2025-04-13 01:00:00,2.3462,2.3536,2.32,2.3254,3967508.1
2025-04-13 02:00:00,2.3256,2.3564,2.3147,2.3487,5741717.2
2025-04-13 03:00:00,2.3486,2.4175,2.3473,2.4114,5493275.3
2025-04-13 04:00:00,2.4111,2.4114,2.3476,2.3585,4106489.5
2025-04-13 05:00:00,2.3585,2.368,2.335,2.35,3436150.2
2025-04-13 06:00:00,2.35,2.3629,2.3404,2.3457,2041879.2
2025-04-13 07:00:00,2.3457,2.3543,2.3171,2.3241,2227430.1
2025-04-13 08:00:00,2.3242,2.3453,2.3037,2.3433,3064340.2
2025-04-13 09:00:00,2.3434,2.3668,2.3331,2.3628,2723876.5
2025-04-13 10:00:00,2.3629,2.3698,2.3369,2.3532,3080196.5
2025-04-13 11:00:00,2.353,2.3556,2.3124,2.3288,1912546.5
2025-04-13 12:00:00,2.329,2.3456,2.3228,2.3316,2019116.8
2025-04-13 13:00:00,2.3318,2.3379,2.2734,2.2829,3885960.4
2025-04-13 14:00:00,2.2829,2.2974,2.2717,2.2793,6210603.2
2025-04-13 15:00:00,2.2792,2.2792,2.2443,2.2633,7698521.1
2025-04-13 16:00:00,2.2632,2.2886,2.2624,2.2766,3499925.1
