datetime,open,high,low,close,volume
2025-04-09 10:00:00,6.34e-06,6.42e-06,6.29e-06,6.38e-06,762034704280.0
2025-04-09 11:00:00,6.39e-06,6.39e-06,6.24e-06,6.3e-06,2419027879937.0
2025-04-09 12:00:00,6.31e-06,6.37e-06,6.25e-06,6.32e-06,1019832064302.0
2025-04-09 13:00:00,6.33e-06,6.46e-06,6.29e-06,6.42e-06,1670290170368.0
2025-04-09 14:00:00,6.42e-06,6.47e-06,6.31e-06,6.32e-06,1019899033687.0
2025-04-09 15:00:00,6.32e-06,6.43e-06,6.32e-06,6.39e-06,557880273503.0
2025-04-09 16:00:00,6.4e-06,6.55e-06,6.37e-06,6.51e-06,1389724947634.0
2025-04-09 17:00:00,6.51e-06,7.07e-06,6.45e-06,7.05e-06,7735555348796.0
2025-04-09 18:00:00,7.05e-06,7.14e-06,6.93e-06,6.98e-06,3529427023100.0
2025-04-09 19:00:00,6.98e-06,7.05e-06,6.92e-06,6.93e-06,1953870331206.0
2025-04-09 20:00:00,6.93e-06,7.07e-06,6.93e-06,7.06e-06,1020232557174.0
2025-04-09 21:00:00,7.05e-06,7.08e-06,6.96e-06,7.03e-06,1048223020916.0
2025-04-09 22:00:00,7.03e-06,7.05e-06,6.99e-06,7e-06,522037272583.0
2025-04-09 23:00:00,7e-06,7.02e-06,6.94e-06,6.97e-06,581117555717.0
2025-04-10 00:00:00,6.97e-06,7e-06,6.81e-06,6.88e-06,967100968764.0
2025-04-10 01:00:00,6.89e-06,6.91e-06,6.79e-06,6.81e-06,608944233340.0
2025-04-10 02:00:00,6.81e-06,6.85e-06,6.77e-06,6.79e-06,635265331942.0
2025-04-10 03:00:00,6.78e-06,6.79e-06,6.63e-06,6.74e-06,1171480976299.0
2025-04-10 04:00:00,6.74e-06,6.76e-06,6.66e-06,6.75e-06,709939813661.0
2025-04-10 05:00:00,6.75e-06,6.83e-06,6.74e-06,6.79e-06,684796582962.0
2025-04-10 06:00:00,6.8e-06,6.82e-06,6.73e-06,6.79e-06,403562366654.0
2025-04-10 07:00:00,6.79e-06,6.81e-06,6.66e-06,6.72e-06,1238889758875.0
2025-04-10 08:00:00,6.72e-06,6.73e-06,6.66e-06,6.69e-06,774114030861.0
2025-04-10 09:00:00,6.7e-06,6.8e-06,6.67e-06,6.78e-06,571831556228.0
2025-04-10 10:00:00,6.77e-06,6.79e-06,6.69e-06,6.73e-06,360919178204.0
2025-04-10 11:00:00,6.73e-06,6.75e-06,6.67e-06,6.74e-06,523869749439.0
