datetime,symbol,action,price,sentiment
2025-04-14 20:00:00,SOLUSDT,CLOSE-LONG,130.22,0.1109
2025-04-14 21:00:00,SOLUSDT,CLOSE-LONG,129.56,0.1109
2025-04-14 22:00:00,SOLUSDT,CLOSE-LONG,129.67,0.1109
2025-04-14 23:00:00,SOLUSDT,CLOSE-LONG,129.42,0.1109
2025-04-15 00:00:00,SOLUSDT,CLOSE-LONG,129.2,0.1109
2025-04-15 01:00:00,SOLUSDT,CLOSE-LONG,130.34,0.1109
2025-04-15 02:00:00,SOLUSDT,CLOSE-LONG,129.51,0.1109
2025-04-15 03:00:00,SOLUSDT,CLOSE-LONG,130.54,0.1109
2025-04-15 04:00:00,SOLUSDT,CLOSE-LONG,130.86,0.1109
2025-04-15 05:00:00,SOLUSDT,CLOSE-LONG,131.28,0.1109
2025-04-15 06:00:00,SOLUSDT,CLOSE-LONG,131.06,0.1109
2025-04-15 07:00:00,SOLUSDT,CLOSE-LONG,131.55,0.1109
2025-04-15 08:00:00,SOLUSDT,CLOSE-LONG,131.72,0.1109
2025-04-15 10:00:00,SOLUSDT,CLOSE-LONG,132.35,0.1109
2025-04-15 11:00:00,SOLUSDT,BUY,132.15,0.1109
2025-04-15 14:00:00,SOLUSDT,CLOSE-LONG,130.7,0.1109
2025-04-15 15:00:00,SOLUSDT,CLOSE-LONG,129.61,0.1109
2025-04-15 16:00:00,SOLUSDT,CLOSE-LONG,129.7,0.1109
2025-04-15 17:00:00,SOLUSDT,CLOSE-LONG,128.24,0.1109
2025-04-15 18:00:00,SOLUSDT,CLOSE-LONG,128.16,0.1109
2025-04-15 19:00:00,SOLUSDT,CLOSE-LONG,127.88,0.1109
2025-04-15 20:00:00,SOLUSDT,CLOSE-LONG,127.73,0.1109
2025-04-15 21:00:00,SOLUSDT,CLOSE-LONG,128.12,0.1109
2025-04-15 22:00:00,SOLUSDT,CLOSE-LONG,126.51,0.1109
2025-04-15 23:00:00,SOLUSDT,CLOSE-LONG,126.11,0.1109
2025-04-16 00:00:00,SOLUSDT,CLOSE-LONG,125.21,0.1109
2025-04-16 01:00:00,SOLUSDT,CLOSE-LONG,126.21,0.1109
2025-04-16 02:00:00,SOLUSDT,CLOSE-LONG,127.0,0.1109
2025-04-16 03:00:00,SOLUSDT,CLOSE-LONG,126.44,0.1109
2025-04-16 04:00:00,SOLUSDT,CLOSE-LONG,125.93,0.1109
2025-04-16 05:00:00,SOLUSDT,CLOSE-LONG,125.4,0.1109
2025-04-16 06:00:00,SOLUSDT,CLOSE-LONG,126.1,0.1109
2025-04-16 07:00:00,SOLUSDT,CLOSE-LONG,124.78,0.1109
2025-04-16 08:00:00,SOLUSDT,CLOSE-LONG,125.13,0.1109
2025-04-16 09:00:00,SOLUSDT,CLOSE-LONG,124.52,0.1109
