datetime,symbol,action,price,sentiment
2025-04-13 19:00:00,LINKUSDT,CLOSE-SHORT,12.67,-0.0551
2025-04-13 20:00:00,LINKUSDT,CLOSE-SHORT,12.58,-0.0551
2025-04-13 21:00:00,LINKUSDT,CLOSE-SHORT,12.58,-0.0551
2025-04-13 22:00:00,LINKUSDT,CLOSE-SHORT,12.49,-0.0551
2025-04-13 23:00:00,LINKUSDT,CLOSE-SHORT,12.62,-0.0551
2025-04-14 00:00:00,LINKUSDT,CLOSE-SHORT,12.77,-0.0551
2025-04-14 01:00:00,LINKUSDT,CLOSE-SHORT,12.77,-0.0551
2025-04-14 02:00:00,LINKUSDT,CLOSE-SHORT,12.9,-0.0551
2025-04-14 03:00:00,LINKUSDT,CLOSE-SHORT,12.78,-0.0551
2025-04-14 04:00:00,LINKUSDT,CLOSE-SHORT,12.86,-0.0551
2025-04-14 05:00:00,LINKUSDT,CLOSE-SHORT,12.74,-0.0551
2025-04-14 06:00:00,LINKUSDT,CLOSE-SHORT,12.68,-0.0551
2025-04-14 07:00:00,LINKUSDT,CLOSE-SHORT,12.74,-0.0551
2025-04-14 08:00:00,LINKUSDT,CLOSE-SHORT,12.8,-0.0551
2025-04-14 09:00:00,LINKUSDT,CLOSE-SHORT,12.79,-0.0551
2025-04-14 10:00:00,LINKUSDT,CLOSE-SHORT,13.12,-0.0551
2025-04-14 11:00:00,LINKUSDT,CLOSE-SHORT,13.16,-0.0551
2025-04-14 12:00:00,LINKUSDT,CLOSE-SHORT,13.18,-0.0551
2025-04-14 13:00:00,LINKUSDT,CLOSE-SHORT,12.94,-0.0551
2025-04-14 14:00:00,LINKUSDT,CLOSE-SHORT,13.15,-0.0551
2025-04-14 15:00:00,LINKUSDT,CLOSE-SHORT,12.71,-0.0551
2025-04-14 16:00:00,LINKUSDT,CLOSE-SHORT,12.75,-0.0551
2025-04-14 17:00:00,LINKUSDT,CLOSE-SHORT,12.96,-0.0551
2025-04-14 18:00:00,LINKUSDT,CLOSE-SHORT,12.97,-0.0551
2025-04-14 19:00:00,LINKUSDT,CLOSE-SHORT,12.86,-0.0551
2025-04-14 20:00:00,LINKUSDT,CLOSE-SHORT,12.8,-0.0551
2025-04-14 21:00:00,LINKUSDT,CLOSE-SHORT,12.69,-0.0551
2025-04-14 22:00:00,LINKUSDT,CLOSE-SHORT,12.63,-0.0551
2025-04-14 23:00:00,LINKUSDT,CLOSE-SHORT,12.63,-0.0551
2025-04-15 00:00:00,LINKUSDT,CLOSE-SHORT,12.68,-0.0551
2025-04-15 01:00:00,LINKUSDT,CLOSE-SHORT,12.72,-0.0551
2025-04-15 02:00:00,LINKUSDT,CLOSE-SHORT,12.64,-0.0551
2025-04-15 03:00:00,LINKUSDT,CLOSE-SHORT,12.73,-0.0551
2025-04-15 04:00:00,LINKUSDT,CLOSE-SHORT,12.71,-0.0551
2025-04-15 05:00:00,LINKUSDT,CLOSE-SHORT,12.71,-0.0551
2025-04-15 06:00:00,LINKUSDT,CLOSE-SHORT,12.63,-0.0551
2025-04-15 07:00:00,LINKUSDT,CLOSE-SHORT,12.73,-0.0551
2025-04-15 08:00:00,LINKUSDT,CLOSE-SHORT,12.69,-0.0551
2025-04-15 09:00:00,LINKUSDT,CLOSE-SHORT,12.74,-0.0551
2025-04-15 10:00:00,LINKUSDT,CLOSE-SHORT,12.6,-0.0551
2025-04-15 11:00:00,LINKUSDT,CLOSE-SHORT,12.6,-0.0551
2025-04-15 12:00:00,LINKUSDT,CLOSE-SHORT,12.65,-0.0551
2025-04-15 13:00:00,LINKUSDT,CLOSE-SHORT,12.62,-0.0551
2025-04-15 14:00:00,LINKUSDT,CLOSE-SHORT,12.45,-0.0551
2025-04-15 15:00:00,LINKUSDT,CLOSE-SHORT,12.37,-0.0551
2025-04-15 16:00:00,LINKUSDT,CLOSE-SHORT,12.37,-0.0551
2025-04-15 17:00:00,LINKUSDT,CLOSE-SHORT,12.33,-0.0551
2025-04-15 18:00:00,LINKUSDT,CLOSE-SHORT,12.37,-0.0551
2025-04-15 19:00:00,LINKUSDT,CLOSE-SHORT,12.37,-0.0551
2025-04-15 20:00:00,LINKUSDT,CLOSE-SHORT,12.34,-0.0551
2025-04-15 21:00:00,LINKUSDT,CLOSE-SHORT,12.39,-0.0551
2025-04-15 22:00:00,LINKUSDT,CLOSE-SHORT,12.28,-0.0551
2025-04-15 23:00:00,LINKUSDT,CLOSE-SHORT,12.24,-0.0551
2025-04-16 00:00:00,LINKUSDT,CLOSE-SHORT,12.25,-0.0551
2025-04-16 01:00:00,LINKUSDT,CLOSE-SHORT,12.37,-0.0551
2025-04-16 02:00:00,LINKUSDT,CLOSE-SHORT,12.35,-0.0551
2025-04-16 03:00:00,LINKUSDT,CLOSE-SHORT,12.4,-0.0551
2025-04-16 04:00:00,LINKUSDT,CLOSE-SHORT,12.32,-0.0551
2025-04-16 05:00:00,LINKUSDT,CLOSE-SHORT,12.22,-0.0551
2025-04-16 06:00:00,LINKUSDT,CLOSE-SHORT,12.28,-0.0551
2025-04-16 07:00:00,LINKUSDT,CLOSE-SHORT,12.15,-0.0551
2025-04-16 08:00:00,LINKUSDT,CLOSE-SHORT,12.21,-0.0551
2025-04-16 09:00:00,LINKUSDT,CLOSE-SHORT,12.14,-0.0551
